player_id,player,player_role,key_cricinfo,role,final_role
0db94786,NA Statham,Batter,24956,,Batter
0dbe27b8,BD Glover,Unclassified,595419,Bowler,Bowler
0dc00542,Shahid Afridi,Bowler,42639,Allrounder,Allrounder
0e0afd8b,MO Jones,Unclassified,257574,Allrounder,Allrounder
0e9af639,Talha Jubair,Unclassified,56180,,Unclassified
0ebfb1ad,E Lewis,Batter,431901,Opening Batter,Batter
0ec9e2c4,Mohammad Talha,Bowler,227771,Bowler,Bowler
0ecb4de6,Rehan Ahmed,Bowler,1263691,Bowling Allrounder,Bowling Allrounder
0f12f9df,NLTC Perera,Bowler,233514,Bowling Allrounder,Bowling Allrounder
0f348f58,Sunzamul Islam,Bowler,380974,Bowling Allrounder,Bowling Allrounder
0f6db197,S Mahmood,Bowler,643885,Bowler,Bowler
0f721006,JO Holder,Batter,391485,Bowling Allrounder,Bowling Allrounder
0fa5042b,L Ronchi,Batter,7502,Wicketkeeper Batter,Batter
0fdabe05,V Sibanda,Batter,55787,Opening Batter,Batter
101d1e85,KJJ van Noortwijk,Batter,24974,,Batter
10840285,AL Kandappah,Batter,313432,Batter,Batter
10a2a1ff,PG Fulton,Batter,37091,Top order Batter,Batter
10a91f35,Shoaib Akhtar,Bowler,42655,Bowler,Bowler
10c158cc,K Sonavale,Batter,1443393,Batting Allrounder,Batting Allrounder
11196470,TV Mufambisi,Batter,55643,Wicketkeeper Batter,Batter
112959b2,A Bagai,Batter,23797,Wicketkeeper Batter,Batter
11614d87,D Pretorius,Bowler,327830,Bowling Allrounder,Bowling Allrounder
119678fd,KV Sharma,Unclassified,30288,Bowler,Bowler
11ce1151,MKDI Amerasinghe,Bowler,48139,Bowler,Bowler
11df3dc8,MJ Lumb,Batter,16406,Top order Batter,Batter
1200550f,MJ Prior,Batter,18675,Wicketkeeper Batter,Batter
122108d8,S Chattergoon,Batter,51492,,Batter
1236044e,LR Naylor,Batter,1195683,,Batter
123e663a,S Dhaniram,All-Rounder,51738,Allrounder,Allrounder
1252f71a,MRJ Watt,Bowler,659081,Bowler,Bowler
126e56a1,Wasim Akram,Bowler,43547,Bowler,Bowler
1274d7ab,Nazmul Hossain Shanto,Batter,629058,Top order Batter,Batter
127bc5ca,NGRP Jayasuriya,Unclassified,422871,Bowler,Bowler
12b59324,RP Lefebvre,Unclassified,24918,Allrounder,Allrounder
12b610c2,TM Head,Batter,530011,Top order Batter,Batter
12bffe91,LL Tsotsobe,Bowler,47666,Bowler,Bowler
12c3ba4d,P Khadka,Batter,25967,Allrounder,Allrounder
12eddf28,RJ Harris,Bowler,5779,Bowler,Bowler
12f6b3bd,N Kruger,Batter,355107,Opening Batter,Batter
134ba8ae,ADR Campbell,Batter,55301,Opening Batter,Batter
13c35c9e,TG Southee,Bowler,232364,Bowler,Bowler
1417ba2f,JJC Lawson,Unclassified,52413,Bowler,Bowler
14810ee7,Kaleem Sana,Bowler,385938,Bowler,Bowler
1494a583,Dhiman Ghosh,Unclassified,56208,Wicketkeeper Batter,Batter
14b14cd8,DM Bravo,Batter,277472,Top order Batter,Batter
14f96089,A Zampa,Bowler,379504,Bowler,Bowler
151e8077,CS Baugh,Unclassified,51446,Wicketkeeper,Unclassified
1530a7e9,F Kasteni,Batter,55551,Batter,Batter
1558d83b,GS Sandhu,Unclassified,499660,Bowler,Bowler
156378d8,S Jora,Batter,1161022,Middle order Batter,Batter
156d0ea2,SR Mukkamalla,Batter,1193310,Opening Batter,Batter
158d6619,DOD Rikhi,Batter,1276395,,Batter
15d1b59e,NA de Groot,Batter,23854,,Batter
15de1f5d,WA Agar,Unclassified,959833,Bowler,Bowler
1688f2dc,T Lungameni,Bowler,524075,Bowler,Bowler
16dfcc19,Umar Gul,Bowler,43524,Bowler,Bowler
174369f2,NAM McLean,Unclassified,52430,Bowler,Bowler
1747ea18,DS Airee,Batter,794707,Middle order Batter,Batter
1777c020,Fakhar Zaman,Batter,512191,Opening Batter,Batter
17aa4f1d,Aaron Jones,Batter,957645,Top order Batter,Batter
17b641bf,SD Udal,Unclassified,22144,Bowler,Bowler
17efdeb8,Raqibul Hasan,Batter,56093,Batter,Batter
17f552bf,SV Carlisle,Batter,55307,Top order Batter,Batter
17fbaab5,FL Reifer,Batter,52808,Batter,Batter
18261c22,SJ Myburgh,Batter,233712,Opening Batter,Batter
18356eb3,GB Murgatroyd,Batter,24799,,Batter
18eaf2fa,Amjad Javed,Batter,25613,Allrounder,Allrounder
18fac429,SR Patel,Batter,18632,Allrounder,Allrounder
193ef196,Sharjeel Khan,Batter,227762,Opening Batter,Batter
19708692,MW Parkinson,Bowler,653695,Bowler,Bowler
19d0a172,G Hoey,Unclassified,1195662,Bowler,Bowler
1a156c88,DJM Short,Batter,308798,Opening Batter,Batter
1a2676c5,SA Abbott,Unclassified,398666,Bowling Allrounder,Bowling Allrounder
1a3cc554,RK Paudel,Batter,1072488,Batting Allrounder,Batting Allrounder
1a448be0,B White,Unclassified,928059,Bowler,Bowler
1a8ad45c,SJ Cameron,Bowler,873205,,Bowler
1a8eebbe,Shafiul Islam,Unclassified,288305,Bowler,Bowler
1abb78f8,SN Thakur,Bowler,475281,Bowler,Bowler
1ac2a995,HR Walsh,Unclassified,443263,Bowler,Bowler
1adb8ee8,Sompal Kami,Bowler,701215,Bowling Allrounder,Bowling Allrounder
1af1bc4b,JH Desai,Unclassified,25880,,Unclassified
1afdbdbf,JWM Dalrymple,Batter,11974,Allrounder,Allrounder
1b3acd33,MD Bates,Bowler,36590,Bowler,Bowler
1b668884,MS Sinclair,Batter,38393,Top order Batter,Batter
1b6fef02,P Mustard,Batter,17185,Wicketkeeper Batter,Batter
1bae756b,ADS Fletcher,Batter,51862,Top order Batter,Batter
1bb0993e,Abu Jayed,Unclassified,410763,Bowler,Bowler
1bd16445,VM Nyauchi,Unclassified,453277,Bowler,Bowler
1be67d37,RTM Mendis,Unclassified,629084,Allrounder,Allrounder
1be70c88,LPC Silva,Batter,50431,Batter,Batter
1c17e270,RV Uthappa,Batter,35582,Batter,Batter
1c790f4f,Rumman Raees,Unclassified,448243,Bowler,Bowler
1c914163,Yuvraj Singh,All-Rounder,36084,Middle order Batter,Batter
1cb14aa4,CJ Dala,Unclassified,545467,Bowler,Bowler
1cb64b3c,CB Lambert,Unclassified,25635,,Unclassified
1d048deb,BOP Fernando,Batter,366725,Top order Batter,Batter
1d5dd8a6,N Ifill,Batter,23816,Batting Allrounder,Batting Allrounder
1dc12ab9,SK Raina,Batter,33335,Middle order Batter,Batter
1e25b5bf,C Carter,Batter,919493,Wicketkeeper Batter,Batter
1e5708ac,Zahid Hussain,Unclassified,43726,Bowler,Bowler
1e66c162,JD Unadkat,Bowler,390484,Bowler,Bowler
1e7b1aa7,Saleem Elahi,Batter,42620,Opening Batter,Batter
1e960f2a,C Kieswetter,Batter,230855,Opening Batter,Batter
1edf29b9,Akshay Homraj,Batter,1205381,Wicketkeeper Batter,Batter
1ee08e9a,JA Richardson,Bowler,774223,Bowler,Bowler
1efd9f52,LJ Hamilton,Unclassified,37228,,Unclassified
1eff8625,SC Joseph,Batter,52206,,Batter
1f3ad23f,DR Chumney,Batter,23767,,Batter
1f6cbaff,TC Bastiampillai,Batter,23874,Batter,Batter
1f7adc8a,Arafat Sunny,Bowler,56268,Bowler,Bowler
1fb2f362,IS Billcliff,Batter,23850,,Batter
1fc6ef83,SD Hope,Batter,581379,Wicketkeeper Batter,Batter
1fe81cc9,T Kamungozi,Unclassified,235521,Allrounder,Allrounder
2008fc75,TT Samaraweera,Batter,50424,Batter,Batter
207c4398,SP Jones,Unclassified,15555,,Unclassified
208f22ea,DJ Worrall,Unclassified,557298,Bowler,Bowler
20a941bb,M Ntini,Bowler,46592,Bowler,Bowler
20ab5aad,PD Blignaut,Unclassified,1256934,Bowler,Bowler
20f3a03d,RM Jariwala,Unclassified,1193304,,Unclassified
20f4a109,TGJ Gruijters,Unclassified,364300,Top order Batter,Batter
20fbf68c,Reon King,Unclassified,52294,Bowler,Bowler
210b05cb,Ehsan Adil,Unclassified,547092,Bowler,Bowler
210f4a5d,SH Lewis,Unclassified,1086206,Bowler,Bowler
211de69f,Azhar Ali,Batter,39037,Top order Batter,Batter
21231130,JJ Esmeijer,Unclassified,24891,,Unclassified
2182013e,SW Masakadza,Bowler,343529,Bowler,Bowler
218c7eab,Basir Ahamad,Unclassified,1290587,,Unclassified
21afb939,Shoaib Khan,Batter,1276700,Batter,Batter
21b97584,Mrittunjoy Chowdhury,Unclassified,1012137,Bowling Allrounder,Bowling Allrounder
21bf71ab,T Mupariwa,Bowler,55652,Bowler,Bowler
21d4e29b,Navdeep Saini,Unclassified,700167,Bowler,Bowler
21e5f325,TA Blundell,Batter,440516,Wicketkeeper Batter,Batter
221ad9d9,GP Swann,Bowler,20431,Bowler,Bowler
2254ab79,Sarfraz Ahmed,Batter,227760,Wicketkeeper Batter,Batter
2259c12d,Tabarak Dar,Batter,24139,Batter,Batter
22860288,RJ Kirtley,Unclassified,15901,Bowler,Bowler
22ae3041,Fawad Ahmed,Unclassified,240609,Bowler,Bowler
22b98d7c,TW Hartley,Unclassified,1150772,Bowler,Bowler
22bd731a,DG Brownlie,Batter,4493,Middle order Batter,Batter
22feee04,Zubayr Hamza,Batter,550187,Batter,Batter
2318ba22,TLW Cooper,Batter,219885,Middle order Batter,Batter
235c2bb6,H Klaasen,Batter,436757,Wicketkeeper Batter,Batter
23cca426,OF Smith,All-Rounder,820691,Bowling Allrounder,Bowling Allrounder
23eeb873,DL Chahar,All-Rounder,447261,Bowler,Bowler
23f94c02,J Drysdale,Bowler,1427052,Allrounder,Allrounder
24104e5c,Tanbir Hayder,Unclassified,421892,Middle order Batter,Batter
243431b5,KJ O'Brien,Batter,24605,Batting Allrounder,Batting Allrounder
244048f6,Arshdeep Singh,Bowler,1125976,Bowler,Bowler
248698f4,DSK Madushanka,Unclassified,1043681,Bowler,Bowler
2498e163,JR Hopes,All-Rounder,5702,Allrounder,Allrounder
249d60c9,AU Rashid,Bowler,244497,Bowler,Bowler
24bb1c2f,Haris Rauf,Bowler,1161606,Bowler,Bowler
24ecc358,TM Dowlin,Batter,51660,Batter,Batter
24fcd95d,Kashif Daud,All-Rounder,229225,Bowling Allrounder,Bowling Allrounder
25020f9d,AR Caddick,Bowler,10633,Bowler,Bowler
2503e881,A Nel,Bowler,46569,Bowler,Bowler
25550d06,GI Hume,Bowler,379144,Bowler,Bowler
25d7f1ac,MD Patel,Batter,1159641,Wicketkeeper Batter,Batter
25d8d51a,KH Butt,Batter,24212,Allrounder,Allrounder
25e26a23,Najeeb Amar,Unclassified,42106,Allrounder,Allrounder
25f7b7d6,T Banton,Batter,877051,Wicketkeeper Batter,Batter
261d6559,Naved Latif,Batter,42066,,Batter
26534b48,AM Guruge,Bowler,49013,Bowler,Bowler
267269e1,Faisal Iqbal,Batter,40088,Middle order Batter,Batter
26a85969,R Dhawan,Unclassified,290727,Allrounder,Allrounder
26d041c4,Sikandar Raza,Batter,299572,Batting Allrounder,Batting Allrounder
26e5cabf,MK Tiwary,All-Rounder,35565,Batter,Batter
26f12506,CT Mutombodzi,Batter,333001,Allrounder,Allrounder
26ff4c29,RJ Peterson,Batter,46750,Bowler,Bowler
270b3f8e,JK Kamande,Batter,24697,Bowler,Bowler
270bf7e2,KV Morea,Bowler,524255,Bowler,Bowler
27159c6a,RM Haq,Bowler,25451,Bowler,Bowler
271f83cd,SA Yadav,Batter,446507,Batter,Batter
27258b3e,ML Patel,Batter,24784,,Batter
27410b17,PW Gunaratne,Unclassified,49043,,Unclassified
2764133a,L Vincent,Batter,38714,Batter,Batter
279c51f0,Aakash Chand,Bowler,1185557,,Bowler
27b8d7b6,K Birkenstock,Batter,1057456,Middle order Batter,Batter
27cc4361,PJ Ongondo,Bowler,24762,Bowler,Bowler
27d1cc51,PA Hitchcock,Unclassified,37263,,Unclassified
28131839,MA Leask,All-Rounder,414966,Allrounder,Allrounder
28392e11,Zaman Khan,Unclassified,1272475,Bowler,Bowler
28496266,CT Mumba,Unclassified,672775,Allrounder,Allrounder
28c7d721,S Bhari,Bowler,633525,Bowler,Bowler
28ed9134,S Thuraisingam,Bowler,23856,,Bowler
290cba17,SJ Modani,Batter,1276393,Opening Batter,Batter
2911de16,Hasan Ali,Bowler,681305,Bowler,Bowler
2957a836,GJP Kruger,Unclassified,45888,Bowler,Bowler
29b89ae8,WB Rankin,Bowler,24599,Bowler,Bowler
29e253dd,Iftikhar Ahmed,Batter,480603,Middle order Batter,Batter
29e95537,AM Rahane,Batter,277916,Top order Batter,Batter
