player_id,player,player_role,key_cricinfo
12c3ba4d,P Khadka,Batter,25967.0
12eddf28,RJ Harris,Bowler,5779.0
12f6b3bd,N Kruger,Batter,355107.0
134ba8ae,ADR Campbell,Batter,55301.0
13c35c9e,TG Southee,Bowler,232364.0
1417ba2f,JJC Lawson,Unclassified,52413.0
14810ee7,Kaleem Sana,Bowler,385938.0
1494a583,Dhiman Ghosh,Unclassified,56208.0
14b14cd8,DM Bravo,Batter,277472.0
14f96089,A Zampa,Bowler,379504.0
151e8077,CS Baugh,Unclassified,51446.0
1530a7e9,F Kasteni,Batter,55551.0
1558d83b,GS Sandhu,Unclassified,499660.0
156378d8,S Jora,Batter,1161022.0
156d0ea2,SR Mukkamalla,Batter,1193310.0
158d6619,DOD Rikhi,Batter,1276395.0
15d1b59e,NA de Groot,Batter,23854.0
15de1f5d,WA Agar,Unclassified,959833.0
1688f2dc,T Lungameni,Bowler,524075.0
16dfcc19,Umar Gul,Bowler,43524.0
174369f2,NAM McLean,Unclassified,52430.0
1747ea18,DS Airee,Batter,794707.0
1777c020,Fakhar Zaman,Batter,512191.0
17aa4f1d,Aaron Jones,Batter,957645.0
17b641bf,SD Udal,Unclassified,22144.0
17efdeb8,Raqibul Hasan,Batter,56093.0
17f552bf,SV Carlisle,Batter,55307.0
17fbaab5,FL Reifer,Batter,52808.0
18261c22,SJ Myburgh,Batter,233712.0
18356eb3,GB Murgatroyd,Batter,24799.0
18eaf2fa,Amjad Javed,Batter,25613.0
18fac429,SR Patel,Batter,18632.0
193ef196,Sharjeel Khan,Batter,227762.0
19708692,MW Parkinson,Bowler,653695.0
19d0a172,G Hoey,Unclassified,1195662.0
1a156c88,DJM Short,Batter,308798.0
1a2676c5,SA Abbott,Unclassified,398666.0
1a3cc554,RK Paudel,Batter,1072488.0
1a448be0,B White,Unclassified,928059.0
1a8ad45c,SJ Cameron,Bowler,873205.0
1a8eebbe,Shafiul Islam,Unclassified,288305.0
1abb78f8,SN Thakur,Bowler,475281.0
1ac2a995,HR Walsh,Unclassified,443263.0
1adb8ee8,Sompal Kami,Bowler,701215.0
1af1bc4b,JH Desai,Unclassified,25880.0
1afdbdbf,JWM Dalrymple,Batter,11974.0
1b3acd33,MD Bates,Bowler,36590.0
1b668884,MS Sinclair,Batter,38393.0
1b6fef02,P Mustard,Batter,17185.0
1bae756b,ADS Fletcher,Batter,51862.0
1bb0993e,Abu Jayed,Unclassified,410763.0
1bd16445,VM Nyauchi,Unclassified,453277.0
1be67d37,RTM Mendis,Unclassified,629084.0
1be70c88,LPC Silva,Batter,50431.0
1c17e270,RV Uthappa,Batter,35582.0
1c790f4f,Rumman Raees,Unclassified,448243.0
1c914163,Yuvraj Singh,All-Rounder,36084.0
1cb14aa4,CJ Dala,Unclassified,545467.0
1cb64b3c,CB Lambert,Unclassified,25635.0
1d048deb,BOP Fernando,Batter,366725.0
1d5dd8a6,N Ifill,Batter,23816.0
1dc12ab9,SK Raina,Batter,33335.0
1e25b5bf,C Carter,Batter,919493.0
1e5708ac,Zahid Hussain,Unclassified,43726.0
1e66c162,JD Unadkat,Bowler,390484.0
1e7b1aa7,Saleem Elahi,Batter,42620.0
1e960f2a,C Kieswetter,Batter,230855.0
